AvgSpotLen_l	BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	isolate_s	isolation_source_s	Assay_Type_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	SRA_Study_s	age_s	sex_s	tissue_s
95	SAMN03768868	SRX1075040	2015-10-13	191	123	Astatotilapia calliptera	2015-10-18	SRR2080371	SRS973868	RAD-3C10D	27-Nov-2011	3C10D	Lake Itende	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
95	SAMN03768893	SRX1075041	2015-10-13	0	0	Astatotilapia calliptera	2015-10-18	SRR2080372	SRS973867	RAD-404D	24-Jul-2011	404D	Unaka Lagoon	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
95	SAMN03768894	SRX1075042	2015-10-13	151	97	Astatotilapia calliptera	2015-10-18	SRR2080373	SRS973872	RAD-404E	24-Jul-2011	404E	Unaka Lagoon	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768897	SRX1075043	2015-10-13	50	34	Oreochromis shiranus	2015-10-18	SRR2080374	SRS973866	RAD-410A	25-Jul-2011	410A	Salima	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
92	SAMN03768898	SRX1075044	2015-10-13	74	50	Oreochromis shiranus	2015-10-18	SRR2080375	SRS973864	RAD-410B	25-Jul-2011	410B	Salima	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768857	SRX1075045	2015-10-13	74	49	Astatotilapia sp. RAD-72A	2015-10-18	SRR2080376	SRS965819	RAD-72A	2011-07-15	72A	Lake Kingiri	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768858	SRX1075046	2015-10-13	81	56	Astatotilapia sp. RAD-72B	2015-10-18	SRR2080377	SRS965818	RAD-72B	2011-07-15	72B	Lake Kingiri	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768859	SRX1075047	2015-10-13	431	289	Astatotilapia sp. RAD-72C	2015-10-18	SRR2080378	SRS965820	RAD-72C	2011-07-15	72C	Lake Kingiri	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768863	SRX1075048	2015-10-13	421	282	Astatotilapia sp. RAD-78A	2015-10-18	SRR2080379	SRS973863	RAD-78A	2011-07-15	78A	Lake Kingiri	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768864	SRX1075049	2015-10-13	213	143	Astatotilapia sp. RAD-78B	2015-10-18	SRR2080380	SRS973861	RAD-78B	2011-07-15	78B	Lake Kingiri	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
95	SAMN03768865	SRX1075050	2015-10-13	114	73	Astatotilapia sp. RAD-78C	2015-10-18	SRR2080381	SRS973860	RAD-78C	2011-07-15	78C	Lake Kingiri	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768895	SRX1075051	2015-10-13	203	138	Astatotilapia calliptera	2015-10-18	SRR2080382	SRS973857	RAD-CHIS1	2011	CHIS1	Chisumulu island	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768896	SRX1075052	2015-10-13	17	12	Astatotilapia calliptera	2015-10-18	SRR2080383	SRS973858	RAD-CHIS2	2011	CHIS2	Chisumulu island	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
92	SAMN03768907	SRX1075053	2015-10-13	163	111	Astatotilapia calliptera	2015-10-18	SRR2080384	SRS973854	RAD-MBW1	2011	MBW1	Mbenji island	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
95	SAMN03768908	SRX1075054	2015-10-13	2233	1433	Astatotilapia calliptera	2015-10-18	SRR2080385	SRS973855	RAD-MBW2	2011	MBW2	Mbenji island	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
